" member_uri					";" name	            "
  http://dbpedia.org/resource/Matt_McGinley  ;  Matt McGinley   
  http://dbpedia.org/resource/Johnny_Rod  ;  Johnny Rod   
  http://dbpedia.org/resource/Mick_Sweda  ;  Mick Sweda   
  http://dbpedia.org/resource/Dave_Henzerling  ;  Dave Henzerling   
  http://dbpedia.org/resource/Carmine_Appice  ;  Carmine Appice   
  http://dbpedia.org/resource/Paul_Shortino  ;  Paul Shortino   
  http://dbpedia.org/resource/Paul_Meany  ;  Paul Meany   
  http://dbpedia.org/resource/Darren_King  ;  Darren King   
  http://dbpedia.org/resource/Roy_Mitchell-Cárdenas  ;  Roy Mitchell-Cárdenas   
  http://dbpedia.org/resource/Ayaka_Nishiwaki  ;  Ayaka Nishiwaki   
  http://dbpedia.org/resource/Ayaka_Nishiwaki  ;  西脇 綾香   
  http://dbpedia.org/resource/Ayano_Ōmoto  ;  Ayano Ōmoto   
  http://dbpedia.org/resource/Yuka_Kashino  ;  Yuka Kashino   
  http://dbpedia.org/resource/Piotr_Rogucki  ;  Piotr Rogucki   
  http://dbpedia.org/resource/Benjamin_Sotto  ;  Benjamin Sotto   
  http://dbpedia.org/resource/Frazey_Ford  ;  Frazey Ford   
  http://dbpedia.org/resource/Rosendo_Mercado  ;  Rosendo Mercado   
  http://dbpedia.org/resource/Rosendo_Mercado  ;  Rosendo   
  http://dbpedia.org/resource/Ben_Ottewell  ;  Ben Ottewell   
  http://dbpedia.org/resource/Ian_Ball  ;  Ian Ball   
  http://dbpedia.org/resource/Tommy_Giles_Rogers,_Jr.  ;  Tommy Giles Rogers, Jr.   
  http://dbpedia.org/resource/Tommy_Giles_Rogers,_Jr.  ;  Tommy Giles Rogers   
  http://dbpedia.org/resource/Dan_Briggs_(musician)  ;  Dan Briggs   
  http://dbpedia.org/resource/Dustie_Waring  ;  Dustie Waring   
  http://dbpedia.org/resource/Blake_Richardson  ;  Blake Richardson   
  http://dbpedia.org/resource/Paul_Waggoner  ;  Paul Waggoner   
  http://dbpedia.org/resource/Shawn_Christensen  ;  Shawn Christensen   
  http://dbpedia.org/resource/Pedro_Aznar  ;  Pedro Aznar   
  http://dbpedia.org/resource/Oscar_Moro  ;  Oscar Moro   
  http://dbpedia.org/resource/Charly_García  ;  Charly García   
  http://dbpedia.org/resource/Johan_Edlund  ;  Johan Edlund   
  http://dbpedia.org/resource/Anders_Iwers  ;  Anders Iwers   
  http://dbpedia.org/resource/Rhim  ;  Rhim   
  http://dbpedia.org/resource/Savvas_Ysatis  ;  Savvas Ysatis   
  http://dbpedia.org/resource/Taylor_Deupree  ;  Taylor Deupree   
  http://dbpedia.org/resource/Pat_Mastelotto  ;  Pat Mastelotto   
  http://dbpedia.org/resource/Tony_Levin  ;  Tony Levin   
  http://dbpedia.org/resource/Markus_Reuter  ;  Markus Reuter   
  http://dbpedia.org/resource/Jim_Cregan  ;  Jim Cregan   
  http://dbpedia.org/resource/Rob_Townsend  ;  Rob Townsend   
  http://dbpedia.org/resource/Roger_Chapman  ;  Roger Chapman   
  http://dbpedia.org/resource/Matthew_Nelson  ;  Matthew Nelson   
  http://dbpedia.org/resource/Gunnar_Nelson_(musician)  ;  Gunnar Nelson   
  http://dbpedia.org/resource/Jerry_Gaskill  ;  Jerry Gaskill   
  http://dbpedia.org/resource/Doug_Pinnick  ;  Doug Pinnick   
  http://dbpedia.org/resource/Ty_Tabor  ;  Ty Tabor   
  http://dbpedia.org/resource/Max_Cavalera  ;  Max Cavalera   
