band_uri					;member_uri				; current_member
http://dbpedia.org/resource/Flashy_Python;  http://dbpedia.org/resource/Alec_Ounsworth  ;true
http://dbpedia.org/resource/Odd_Project;  http://dbpedia.org/resource/Jon_Kintz  ;true
http://dbpedia.org/resource/Carbonized;  http://dbpedia.org/resource/Christofer_Johnsson  ;true
http://dbpedia.org/resource/Carbonized;  http://dbpedia.org/resource/Lars_Rosenberg  ;true
http://dbpedia.org/resource/Carbonized;  http://dbpedia.org/resource/Piotr_Wawrzeniuk  ;true
http://dbpedia.org/resource/Divine_Heresy;  http://dbpedia.org/resource/Dino_Cazares  ;true
http://dbpedia.org/resource/Icon_of_Coil;  http://dbpedia.org/resource/Sebastian_Komor  ;true
http://dbpedia.org/resource/Icon_of_Coil;  http://dbpedia.org/resource/Sebastian_Komor  ;true
http://dbpedia.org/resource/Icon_of_Coil;  http://dbpedia.org/resource/Andy_LaPlegua  ;true
http://dbpedia.org/resource/SPA_(band);  http://dbpedia.org/resource/Simon_Toulson-Clarke  ;true
http://dbpedia.org/resource/Chage_and_Aska;  http://dbpedia.org/resource/Aska_(singer)  ;true
http://dbpedia.org/resource/Ninety_Pound_Wuss;  http://dbpedia.org/resource/Jeff_Suffering  ;true
http://dbpedia.org/resource/Marvelous_3;  http://dbpedia.org/resource/Butch_Walker  ;true
http://dbpedia.org/resource/Bourbon_Crow;  http://dbpedia.org/resource/Wednesday_13  ;true
http://dbpedia.org/resource/Viper_Solfa;  http://dbpedia.org/resource/Ronny_Thorsen  ;true
http://dbpedia.org/resource/Viper_Solfa;  http://dbpedia.org/resource/Krister_Dreyer  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Jean-Paul_'Bluey'_Maunick  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Maysa_Leak  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Tony_Momrelle  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Imaani  ;true
http://dbpedia.org/resource/Incognito_(band);  http://dbpedia.org/resource/Imaani  ;true
http://dbpedia.org/resource/Strong_Arm_Steady;  http://dbpedia.org/resource/Mitchy_Slick  ;true
http://dbpedia.org/resource/I_(band);  http://dbpedia.org/resource/Armagedda  ;true
http://dbpedia.org/resource/I_(band);  http://dbpedia.org/resource/King_ov_Hell  ;true
http://dbpedia.org/resource/Heathen_(band);  http://dbpedia.org/resource/Jon_Dette  ;true
http://dbpedia.org/resource/Heathen_(band);  http://dbpedia.org/resource/Lee_Altus  ;true
http://dbpedia.org/resource/Heathen_(band);  http://dbpedia.org/resource/David_White_(heavy_metal_vocalist)  ;true
http://dbpedia.org/resource/Heathen_(band);  http://dbpedia.org/resource/Jason_Viebrooks  ;true
http://dbpedia.org/resource/Telekinesis_(band);  http://dbpedia.org/resource/Michael_Benjamin_Lerner  ;true
http://dbpedia.org/resource/Defecation_(band);  http://dbpedia.org/resource/Mitch_Harris  ;true
http://dbpedia.org/resource/Atoms_for_Peace_(band);  http://dbpedia.org/resource/Flea_(musician)  ;true
http://dbpedia.org/resource/Atoms_for_Peace_(band);  http://dbpedia.org/resource/Thom_Yorke  ;true
http://dbpedia.org/resource/Atoms_for_Peace_(band);  http://dbpedia.org/resource/Mauro_Refosco  ;true
http://dbpedia.org/resource/Atoms_for_Peace_(band);  http://dbpedia.org/resource/Nigel_Godrich  ;true
http://dbpedia.org/resource/Atoms_for_Peace_(band);  http://dbpedia.org/resource/Joey_Waronker  ;true
http://dbpedia.org/resource/Malevolence_(band);  http://dbpedia.org/resource/Dirk_Verbeuren  ;true
http://dbpedia.org/resource/Balanescu_Quartet;  http://dbpedia.org/resource/Alexander_Bălănescu  ;true
http://dbpedia.org/resource/The_Fixxers;  http://dbpedia.org/resource/AMG_(rapper)  ;true
http://dbpedia.org/resource/The_Fixxers;  http://dbpedia.org/resource/DJ_Quik  ;true
http://dbpedia.org/resource/College_Boyz;  http://dbpedia.org/resource/Romany_Malco  ;true
http://dbpedia.org/resource/Turnstyle_(band);  http://dbpedia.org/resource/Adem_K  ;true
http://dbpedia.org/resource/Zoax;  http://dbpedia.org/resource/Joe_Copcutt  ;true
http://dbpedia.org/resource/Zoax;  http://dbpedia.org/resource/Adam_Carroll_(musician)  ;true
http://dbpedia.org/resource/Luniz;  http://dbpedia.org/resource/Yukmouth  ;true
http://dbpedia.org/resource/Luniz;  http://dbpedia.org/resource/Numskull  ;true
http://dbpedia.org/resource/Death_Cab_for_Cutie;  http://dbpedia.org/resource/Jason_McGerr  ;true
http://dbpedia.org/resource/Death_Cab_for_Cutie;  http://dbpedia.org/resource/Nick_Harmer  ;true
http://dbpedia.org/resource/Death_Cab_for_Cutie;  http://dbpedia.org/resource/Ben_Gibbard  ;true
http://dbpedia.org/resource/Phantom_Planet;  http://dbpedia.org/resource/Alex_Greenwald  ;true
http://dbpedia.org/resource/Phantom_Planet;  http://dbpedia.org/resource/Sam_Farrar  ;true
http://dbpedia.org/resource/The_Philosopher_Kings;  http://dbpedia.org/resource/Jon_Levine  ;true
http://dbpedia.org/resource/The_Philosopher_Kings;  http://dbpedia.org/resource/Gerald_Eaton  ;true
http://dbpedia.org/resource/The_Philosopher_Kings;  http://dbpedia.org/resource/Marc_Rogers  ;true
http://dbpedia.org/resource/Eagles_of_Death_Metal;  http://dbpedia.org/resource/Josh_Homme  ;true
http://dbpedia.org/resource/Eagles_of_Death_Metal;  http://dbpedia.org/resource/Jesse_Hughes_(musician)  ;true
http://dbpedia.org/resource/Curved_Air;  http://dbpedia.org/resource/Sonja_Kristina  ;true
http://dbpedia.org/resource/Curved_Air;  http://dbpedia.org/resource/Sonja_Kristina  ;true
http://dbpedia.org/resource/Curved_Air;  http://dbpedia.org/resource/Kirby_Gregory  ;true
http://dbpedia.org/resource/Curved_Air;  http://dbpedia.org/resource/Florian_Pilkington-Miksa  ;true
http://dbpedia.org/resource/Lucifer's_Friend;  http://dbpedia.org/resource/John_Lawton_(musician)  ;true
http://dbpedia.org/resource/The_Yellow_Moon_Band;  http://dbpedia.org/resource/Mathew_Priest  ;true
http://dbpedia.org/resource/Daughtry_(band);  http://dbpedia.org/resource/Chris_Daughtry  ;true
http://dbpedia.org/resource/Big_D_and_the_Kids_Table;  http://dbpedia.org/resource/David_McWane  ;true
http://dbpedia.org/resource/Fink_(singer);  http://dbpedia.org/resource/Tim_Thornton_(musician,_born_1973)  ;true
http://dbpedia.org/resource/The_Escape_Club;  http://dbpedia.org/resource/Trevor_Steel  ;true
http://dbpedia.org/resource/Tortoise_(band);  http://dbpedia.org/resource/Doug_McCombs  ;true
http://dbpedia.org/resource/Tortoise_(band);  http://dbpedia.org/resource/Doug_McCombs  ;true
http://dbpedia.org/resource/Tortoise_(band);  http://dbpedia.org/resource/Doug_McCombs  ;true
http://dbpedia.org/resource/Tortoise_(band);  http://dbpedia.org/resource/John_McEntire  ;true
http://dbpedia.org/resource/Tortoise_(band);  http://dbpedia.org/resource/John_Herndon  ;true
http://dbpedia.org/resource/Winger_(band);  http://dbpedia.org/resource/Paul_Taylor_(keyboardist)  ;true
http://dbpedia.org/resource/Winger_(band);  http://dbpedia.org/resource/Kip_Winger  ;true
http://dbpedia.org/resource/Winger_(band);  http://dbpedia.org/resource/Reb_Beach  ;true
http://dbpedia.org/resource/Winger_(band);  http://dbpedia.org/resource/Rod_Morgenstein  ;true
http://dbpedia.org/resource/Winger_(band);  http://dbpedia.org/resource/John_Roth_(musician)  ;true
http://dbpedia.org/resource/The_69_Eyes;  http://dbpedia.org/resource/Jyrki_69  ;true
http://dbpedia.org/resource/The_69_Eyes;  http://dbpedia.org/resource/Jussi_69  ;true
http://dbpedia.org/resource/Reuben_(band);  http://dbpedia.org/resource/Jamie_Lenman  ;true
http://dbpedia.org/resource/Tree63;  http://dbpedia.org/resource/John_Ellis_(South_African_musician)  ;true
http://dbpedia.org/resource/Tree63;  http://dbpedia.org/resource/Daniel_Ornellas  ;true
http://dbpedia.org/resource/Arc_Angels;  http://dbpedia.org/resource/Charlie_Sexton  ;true
http://dbpedia.org/resource/Arc_Angels;  http://dbpedia.org/resource/Chris_Layton  ;true
http://dbpedia.org/resource/Arc_Angels;  http://dbpedia.org/resource/Doyle_Bramhall_II  ;true
http://dbpedia.org/resource/Confederate_Railroad;  http://dbpedia.org/resource/Danny_Shirley  ;true
http://dbpedia.org/resource/Enuff_Z'Nuff;  http://dbpedia.org/resource/Tony_Fennell  ;true
http://dbpedia.org/resource/Coldcut;  http://dbpedia.org/resource/Matt_Black_(DJ)  ;true
http://dbpedia.org/resource/Mumford_&_Sons;  http://dbpedia.org/resource/Ted_Dwane  ;true
http://dbpedia.org/resource/Mumford_&_Sons;  http://dbpedia.org/resource/Marcus_Mumford  ;true
http://dbpedia.org/resource/Mumford_&_Sons;  http://dbpedia.org/resource/Ben_Lovett_(British_musician)  ;true
http://dbpedia.org/resource/Mumford_&_Sons;  http://dbpedia.org/resource/Ben_Lovett_(British_musician)  ;true
http://dbpedia.org/resource/Mumford_&_Sons;  http://dbpedia.org/resource/Winston_Marshall  ;true
http://dbpedia.org/resource/Ubiquitous_Synergy_Seeker;  http://dbpedia.org/resource/Jason_%22Human_Kebab%22_Parsons  ;true
http://dbpedia.org/resource/Ubiquitous_Synergy_Seeker;  http://dbpedia.org/resource/Jason_%22Human_Kebab%22_Parsons  ;true
http://dbpedia.org/resource/The_Bluetones;  http://dbpedia.org/resource/Adam_Devlin  ;true
http://dbpedia.org/resource/The_Bluetones;  http://dbpedia.org/resource/Eds_Chesters  ;true
http://dbpedia.org/resource/The_Bluetones;  http://dbpedia.org/resource/Mark_Morriss  ;true
http://dbpedia.org/resource/The_Bluetones;  http://dbpedia.org/resource/Scott_Morriss  ;true
http://dbpedia.org/resource/The_Mr._T_Experience;  http://dbpedia.org/resource/Frank_Portman  ;true
http://dbpedia.org/resource/F(x)_(band);  http://dbpedia.org/resource/Luna_(singer)  ;true
http://dbpedia.org/resource/F(x)_(band);  http://dbpedia.org/resource/Victoria_Song  ;true
http://dbpedia.org/resource/F(x)_(band);  http://dbpedia.org/resource/Victoria_Song  ;true
http://dbpedia.org/resource/F(x)_(band);  http://dbpedia.org/resource/Victoria_Song  ;true
http://dbpedia.org/resource/F(x)_(band);  http://dbpedia.org/resource/Amber_Liu_(singer)  ;true
http://dbpedia.org/resource/F(x)_(band);  http://dbpedia.org/resource/Krystal_Jung  ;true
http://dbpedia.org/resource/Grace_Potter_and_the_Nocturnals;  http://dbpedia.org/resource/Matthew_Burr  ;true
http://dbpedia.org/resource/Grace_Potter_and_the_Nocturnals;  http://dbpedia.org/resource/Grace_Potter  ;true
http://dbpedia.org/resource/Steps_Ahead;  http://dbpedia.org/resource/Tom_Kennedy_(musician)  ;true
http://dbpedia.org/resource/Steps_Ahead;  http://dbpedia.org/resource/Steve_Smith_(musician)  ;true
http://dbpedia.org/resource/Steps_Ahead;  http://dbpedia.org/resource/Steve_Smith_(musician)  ;true
http://dbpedia.org/resource/Steps_Ahead;  http://dbpedia.org/resource/Mike_Mainieri  ;true
http://dbpedia.org/resource/Steps_Ahead;  http://dbpedia.org/resource/Bill_Evans_(saxophonist)  ;true
http://dbpedia.org/resource/Steps_Ahead;  http://dbpedia.org/resource/Chuck_Loeb  ;true
http://dbpedia.org/resource/Imperial_State_Electric;  http://dbpedia.org/resource/The_Datsuns  ;true
http://dbpedia.org/resource/Imperial_State_Electric;  http://dbpedia.org/resource/Nicke_Andersson  ;true
http://dbpedia.org/resource/The_Meters;  http://dbpedia.org/resource/Leo_Nocentelli  ;true
http://dbpedia.org/resource/The_Meters;  http://dbpedia.org/resource/George_Porter_Jr.  ;true
http://dbpedia.org/resource/The_Meters;  http://dbpedia.org/resource/George_Porter_Jr.  ;true
http://dbpedia.org/resource/The_Meters;  http://dbpedia.org/resource/Art_Neville  ;true
http://dbpedia.org/resource/Cave_In;  http://dbpedia.org/resource/Stephen_Brodsky  ;true
http://dbpedia.org/resource/Cave_In;  http://dbpedia.org/resource/Caleb_Scofield  ;true
http://dbpedia.org/resource/American_Hi-Fi;  http://dbpedia.org/resource/Jamie_Arentzen  ;true
http://dbpedia.org/resource/American_Hi-Fi;  http://dbpedia.org/resource/Stacy_Jones  ;true
http://dbpedia.org/resource/American_Hi-Fi;  http://dbpedia.org/resource/Drew_Parsons_(musician)  ;true
http://dbpedia.org/resource/Braid_(band);  http://dbpedia.org/resource/Bob_Nanna  ;true
http://dbpedia.org/resource/Braid_(band);  http://dbpedia.org/resource/Chris_Broach  ;true
http://dbpedia.org/resource/Braid_(band);  http://dbpedia.org/resource/Damon_Atkinson  ;true
http://dbpedia.org/resource/I_Killed_the_Prom_Queen;  http://dbpedia.org/resource/Jona_Weinhofen  ;true
http://dbpedia.org/resource/Two-Mix;  http://dbpedia.org/resource/Minami_Takayama  ;true
http://dbpedia.org/resource/The_Civil_Wars;  http://dbpedia.org/resource/Joy_Williams_(singer)  ;true
http://dbpedia.org/resource/The_Civil_Wars;  http://dbpedia.org/resource/John_Paul_White  ;true
http://dbpedia.org/resource/The_Desert_Rose_Band;  http://dbpedia.org/resource/Chris_Hillman  ;true
http://dbpedia.org/resource/The_Desert_Rose_Band;  http://dbpedia.org/resource/John_Jorgenson  ;true
http://dbpedia.org/resource/Carolina_Chocolate_Drops;  http://dbpedia.org/resource/Rhiannon_Giddens  ;true
http://dbpedia.org/resource/The_Superions;  http://dbpedia.org/resource/Fred_Schneider  ;true
http://dbpedia.org/resource/Stereo_MCs;  http://dbpedia.org/resource/Cath_Coffey  ;true
http://dbpedia.org/resource/Deerhoof;  http://dbpedia.org/resource/Greg_Saunier  ;true
http://dbpedia.org/resource/Dizzy_Mizz_Lizzy;  http://dbpedia.org/resource/Tim_Christensen  ;true
http://dbpedia.org/resource/Eddie_and_the_Hot_Rods;  http://dbpedia.org/resource/Richard_Holgarth  ;true
http://dbpedia.org/resource/Xtatik;  http://dbpedia.org/resource/Machel_Montano  ;true
http://dbpedia.org/resource/The_Spencer_Davis_Group;  http://dbpedia.org/resource/Miller_Anderson_(musician)  ;true
http://dbpedia.org/resource/The_Spencer_Davis_Group;  http://dbpedia.org/resource/Colin_Hodgkinson  ;true
http://dbpedia.org/resource/The_Spencer_Davis_Group;  http://dbpedia.org/resource/Spencer_Davis  ;true
http://dbpedia.org/resource/Frontier_Ruckus;  http://dbpedia.org/resource/Matthew_Milia  ;true
http://dbpedia.org/resource/Milligram_(band);  http://dbpedia.org/resource/Jonah_Jenkins  ;true
http://dbpedia.org/resource/Milligram_(band);  http://dbpedia.org/resource/Jonah_Jenkins  ;true
http://dbpedia.org/resource/Matanza_(band);  http://dbpedia.org/resource/Jimmy_London_(rock_singer)  ;true
http://dbpedia.org/resource/B.U.G._Mafia;  http://dbpedia.org/resource/Tataee  ;true
http://dbpedia.org/resource/Bilocate;  http://dbpedia.org/resource/Rami_Haikal  ;true
http://dbpedia.org/resource/Clan_of_Xymox;  http://dbpedia.org/resource/Ronny_Moorings  ;true
http://dbpedia.org/resource/Rockapella;  http://dbpedia.org/resource/Jeff_Thacher  ;true
http://dbpedia.org/resource/Rockapella;  http://dbpedia.org/resource/Scott_Leonard  ;true
http://dbpedia.org/resource/Rockapella;  http://dbpedia.org/resource/Steven_Dorian  ;true
http://dbpedia.org/resource/Rockapella;  http://dbpedia.org/resource/Steven_Dorian  ;true
http://dbpedia.org/resource/Abscess_(band);  http://dbpedia.org/resource/Chris_Reifert  ;true
http://dbpedia.org/resource/Abscess_(band);  http://dbpedia.org/resource/Danny_Coralles  ;true
http://dbpedia.org/resource/Nightnoise;  http://dbpedia.org/resource/Mícheál_Ó_Domhnaill  ;true
http://dbpedia.org/resource/Nightnoise;  http://dbpedia.org/resource/Johnny_Cunningham  ;true
http://dbpedia.org/resource/Nightnoise;  http://dbpedia.org/resource/Tríona_Ní_Dhomhnaill  ;true
http://dbpedia.org/resource/Nightnoise;  http://dbpedia.org/resource/Brian_Dunning_(flautist)  ;true
http://dbpedia.org/resource/Nightnoise;  http://dbpedia.org/resource/Billy_Oskay  ;true
http://dbpedia.org/resource/Orthrelm;  http://dbpedia.org/resource/Mick_Barr  ;true
http://dbpedia.org/resource/Panic!_at_the_Disco;  http://dbpedia.org/resource/Brendon_Urie  ;true
http://dbpedia.org/resource/Panic!_at_the_Disco;  http://dbpedia.org/resource/Dallon_Weekes  ;true
http://dbpedia.org/resource/The_Fresh_&_Onlys;  http://dbpedia.org/resource/Tim_Cohen  ;true
http://dbpedia.org/resource/The_Fresh_&_Onlys;  http://dbpedia.org/resource/Shayde_Sartin  ;true
http://dbpedia.org/resource/Gym_Class_Heroes;  http://dbpedia.org/resource/Travie_McCoy  ;true
http://dbpedia.org/resource/Gym_Class_Heroes;  http://dbpedia.org/resource/Matt_McGinley  ;true
http://dbpedia.org/resource/King_Kobra;  http://dbpedia.org/resource/Johnny_Rod  ;true
http://dbpedia.org/resource/King_Kobra;  http://dbpedia.org/resource/Mick_Sweda  ;true
http://dbpedia.org/resource/King_Kobra;  http://dbpedia.org/resource/Dave_Henzerling  ;true
http://dbpedia.org/resource/King_Kobra;  http://dbpedia.org/resource/Carmine_Appice  ;true
http://dbpedia.org/resource/King_Kobra;  http://dbpedia.org/resource/Paul_Shortino  ;true
http://dbpedia.org/resource/Mutemath;  http://dbpedia.org/resource/Paul_Meany  ;true
http://dbpedia.org/resource/Mutemath;  http://dbpedia.org/resource/Darren_King  ;true
http://dbpedia.org/resource/Mutemath;  http://dbpedia.org/resource/Roy_Mitchell-Cárdenas  ;true
http://dbpedia.org/resource/Perfume_(Japanese_band);  http://dbpedia.org/resource/Ayaka_Nishiwaki  ;true
http://dbpedia.org/resource/Perfume_(Japanese_band);  http://dbpedia.org/resource/Ayaka_Nishiwaki  ;true
http://dbpedia.org/resource/Perfume_(Japanese_band);  http://dbpedia.org/resource/Ayano_Ōmoto  ;true
http://dbpedia.org/resource/Perfume_(Japanese_band);  http://dbpedia.org/resource/Yuka_Kashino  ;true
http://dbpedia.org/resource/Coma_(band);  http://dbpedia.org/resource/Piotr_Rogucki  ;true
http://dbpedia.org/resource/Heavenly_(French_band);  http://dbpedia.org/resource/Benjamin_Sotto  ;true
http://dbpedia.org/resource/The_Be_Good_Tanyas;  http://dbpedia.org/resource/Frazey_Ford  ;true
http://dbpedia.org/resource/Leño;  http://dbpedia.org/resource/Rosendo_Mercado  ;true
http://dbpedia.org/resource/Leño;  http://dbpedia.org/resource/Rosendo_Mercado  ;true
http://dbpedia.org/resource/Gomez_(band);  http://dbpedia.org/resource/Ben_Ottewell  ;true
http://dbpedia.org/resource/Gomez_(band);  http://dbpedia.org/resource/Ian_Ball  ;true
