"band_id","member_uri","name","current_member","member_id"
177,"  http://dbpedia.org/resource/Mauro_Refosco  ","  Mauro Refosco   ",True,7284
177,"  http://dbpedia.org/resource/Nigel_Godrich  ","  Nigel Godrich   ",True,8067
177,"  http://dbpedia.org/resource/Joey_Waronker  ","  Joey Waronker   ",True,5234
188,"  http://dbpedia.org/resource/Dirk_Verbeuren  ","  Dirk Verbeuren   ",True,2859
194,"  http://dbpedia.org/resource/Alexander_Bălănescu  ","  Alexander Bălănescu   ",True,235
195,"  http://dbpedia.org/resource/AMG_(rapper)  ","  AMG   ",True,379
195,"  http://dbpedia.org/resource/DJ_Quik  ","  DJ Quik   ",True,2886
196,"  http://dbpedia.org/resource/Romany_Malco  ","  Romany Malco   ",True,9342
204,"  http://dbpedia.org/resource/Adem_K  ","  Adem K   ",True,94
205,"  http://dbpedia.org/resource/Joe_Copcutt  ","  Joe Copcutt   ",True,5139
205,"  http://dbpedia.org/resource/Adam_Carroll_(musician)  ","  Adam Carroll   ",True,51
212,"  http://dbpedia.org/resource/Yukmouth  ","  Yukmouth   ",True,11483
212,"  http://dbpedia.org/resource/Numskull  ","  Numskull   ",True,8141
213,"  http://dbpedia.org/resource/Jason_McGerr  ","  Jason McGerr   ",True,4644
213,"  http://dbpedia.org/resource/Nick_Harmer  ","  Nick Harmer   ",True,7999
213,"  http://dbpedia.org/resource/Ben_Gibbard  ","  Ben Gibbard   ",True,832
222,"  http://dbpedia.org/resource/Alex_Greenwald  ","  Alex Greenwald   ",True,263
222,"  http://dbpedia.org/resource/Sam_Farrar  ","  Sam Farrar   ",True,9588
223,"  http://dbpedia.org/resource/Jon_Levine  ","  Jon Levine   ",True,5624
223,"  http://dbpedia.org/resource/Gerald_Eaton  ","  Gerald Eaton   ",True,3730
223,"  http://dbpedia.org/resource/Marc_Rogers  ","  Marc Rogers   ",True,6831
225,"  http://dbpedia.org/resource/Josh_Homme  ","  Josh Homme   ",True,5710
225,"  http://dbpedia.org/resource/Jesse_Hughes_(musician)  ","  Jesse Hughes   ",True,4905
227,"  http://dbpedia.org/resource/Sonja_Kristina  ","  Sonja Kristina Linwood   ",True,10045
227,"  http://dbpedia.org/resource/Sonja_Kristina  ","  Sonja Kristina   ",True,10045
227,"  http://dbpedia.org/resource/Kirby_Gregory  ","  Kirby Gregory   ",True,6196
227,"  http://dbpedia.org/resource/Florian_Pilkington-Miksa  ","  Florian Pilkington-Miksa   ",True,3422
229,"  http://dbpedia.org/resource/John_Lawton_(musician)  ","  John Lawton   ",True,5373
232,"  http://dbpedia.org/resource/Mathew_Priest  ","  Mathew Priest   ",True,7154
233,"  http://dbpedia.org/resource/Chris_Daughtry  ","  Chris Daughtry   ",True,1762
234,"  http://dbpedia.org/resource/David_McWane  ","  David McWane   ",True,2615
235,"  http://dbpedia.org/resource/Tim_Thornton_(musician,_born_1973)  ","  Tim Thornton   ",True,10763
239,"  http://dbpedia.org/resource/Trevor_Steel  ","  Trevor Steel   ",True,11078
240,"  http://dbpedia.org/resource/Doug_McCombs  ","  thumbnail|Douglas McCombs with Tortoise in London, February 2016   ",True,3009
240,"  http://dbpedia.org/resource/Doug_McCombs  ","  Doug McCombs   ",True,3009
240,"  http://dbpedia.org/resource/Doug_McCombs  ","  Douglas McCombs   ",True,3009
240,"  http://dbpedia.org/resource/John_McEntire  ","  John McEntire   ",True,5402
240,"  http://dbpedia.org/resource/John_Herndon  ","  John Herndon   ",True,5355
241,"  http://dbpedia.org/resource/Paul_Taylor_(keyboardist)  ","  Paul Taylor   ",True,8459
241,"  http://dbpedia.org/resource/Kip_Winger  ","  Kip Winger   ",True,6195
241,"  http://dbpedia.org/resource/Reb_Beach  ","  Reb Beach   ",True,8925
241,"  http://dbpedia.org/resource/Rod_Morgenstein  ","  Rod Morgenstein   ",True,9285
241,"  http://dbpedia.org/resource/John_Roth_(musician)  ","  John Roth   ",True,5501
243,"  http://dbpedia.org/resource/Jyrki_69  ","  Jyrki 69   ",True,5868
243,"  http://dbpedia.org/resource/Jussi_69  ","  Jussi 69   ",True,5830
246,"  http://dbpedia.org/resource/Jamie_Lenman  ","  Jamie Lenman   ",True,4526
247,"  http://dbpedia.org/resource/John_Ellis_(South_African_musician)  ","  John Ellis   ",True,5317
247,"  http://dbpedia.org/resource/Daniel_Ornellas  ","  Daniel Ornellas   ",True,2258
248,"  http://dbpedia.org/resource/Charlie_Sexton  ","  Charlie Sexton   ",True,1659
248,"  http://dbpedia.org/resource/Chris_Layton  ","  Chris Layton   ",True,1805
248,"  http://dbpedia.org/resource/Doyle_Bramhall_II  ","  Doyle Bramhall II   ",True,3020
250,"  http://dbpedia.org/resource/Danny_Shirley  ","  Danny Shirley   ",True,2308
254,"  http://dbpedia.org/resource/Tony_Fennell  ","  Tony Fennell   ",True,10967
258,"  http://dbpedia.org/resource/Matt_Black_(DJ)  ","  Matt Black   ",True,7176
260,"  http://dbpedia.org/resource/Ted_Dwane  ","  Ted Dwane   ",True,10525
260,"  http://dbpedia.org/resource/Marcus_Mumford  ","  Marcus Mumford   ",True,6838
260,"  http://dbpedia.org/resource/Ben_Lovett_(British_musician)  ","  Benjamin Walter David Lovett   ",True,859
260,"  http://dbpedia.org/resource/Ben_Lovett_(British_musician)  ","  Ben Lovett   ",True,859
260,"  http://dbpedia.org/resource/Winston_Marshall  ","  Winston Marshall   ",True,11402
261,"  http://dbpedia.org/resource/Jason_%22Human_Kebab%22_Parsons  ","  Jason Parsons   ",True,4605
261,"  http://dbpedia.org/resource/Jason_%22Human_Kebab%22_Parsons  ","  Jason \\\\\\\\Human Kebab\\\\\\\\ Parsons   ",True,4605
265,"  http://dbpedia.org/resource/Adam_Devlin  ","  Adam Devlin   ",True,55
